simulatorType,day,roomId,shortage
dynamic,29,97,0
dynamic,29,98,0
dynamic,29,99,2
static,30,0,0
static,30,1,0
static,30,2,2
static,30,3,1
static,30,4,0
static,30,5,3
static,30,6,3
static,30,7,0
static,30,8,6
static,30,9,5
static,30,10,1
static,30,11,2
static,30,12,3
static,30,13,2
static,30,14,0
static,30,15,2
static,30,16,1
static,30,17,1
static,30,18,2
static,30,19,2
static,30,20,0
static,30,21,0
static,30,22,0
static,30,23,0
static,30,24,0
static,30,25,0
static,30,26,0
static,30,27,0
static,30,28,0
static,30,29,0
static,30,30,0
static,30,31,0
static,30,32,0
static,30,33,1
static,30,34,1
static,30,35,2
static,30,36,0
static,30,37,2
static,30,38,1
static,30,39,0
static,30,40,0
static,30,41,0
static,30,42,1
static,30,43,2
static,30,44,0
static,30,45,0
static,30,46,0
static,30,47,0
static,30,48,1
static,30,49,0
static,30,50,2
static,30,51,0
static,30,52,0
static,30,53,0
static,30,54,3
static,30,55,0
static,30,56,1
static,30,57,0
static,30,58,0
static,30,59,0
static,30,60,0
static,30,61,0
static,30,62,0
static,30,63,6
static,30,64,0
static,30,65,0
static,30,66,0
static,30,67,0
static,30,68,0
static,30,69,0
static,30,70,0
static,30,71,0
static,30,72,0
static,30,73,0
static,30,74,0
static,30,75,0
static,30,76,0
static,30,77,0
static,30,78,0
static,30,79,0
static,30,80,0
static,30,81,0
static,30,82,0
static,30,83,1
static,30,84,0
static,30,85,0
static,30,86,0
static,30,87,0
static,30,88,0
static,30,89,0
static,30,90,0
static,30,91,1
static,30,92,0
static,30,93,0
static,30,94,0
static,30,95,0
static,30,96,0
static,30,97,0
static,30,98,0
static,30,99,1
dynamic,30,0,0
dynamic,30,1,0
dynamic,30,2,1
dynamic,30,3,0
dynamic,30,4,2
dynamic,30,5,2
dynamic,30,6,0
dynamic,30,7,0
dynamic,30,8,5
dynamic,30,9,5
dynamic,30,10,2
dynamic,30,11,3
dynamic,30,12,2
dynamic,30,13,0
dynamic,30,14,0
dynamic,30,15,4
dynamic,30,16,0
dynamic,30,17,3
dynamic,30,18,0
dynamic,30,19,0
dynamic,30,20,0
dynamic,30,21,0
dynamic,30,22,0
